id,HH,Emo,Ext,Agr,Con,Ope
d776c78a7f701cbd2b7dde9403727745,36,35,38,32,31,35
d7c6657cb727deea5c6d0570b352c2d2,38,36,27,31,25,33
d90dd7228053566386b6a8638fd7c913,33,36,36,39,34,31
d995d9ef8569d21b9e61c52dedd17dcc,34,41,26,27,31,32
d99ab16f5471b525ed18da02f8beae9f,35,34,33,28,26,30
db1436d4066139a8532cd9c9c269b2cb,28,45,22,40,36,40
db388860af94b606c60557a849be0a80,32,32,35,37,39,41
db8e6d71be8bc5b2428b82e17e0e5416,34,40,32,33,39,31
dbda5d6f877c9f28a2a21629a59971e2,31,37,38,38,38,36
dc44cf7675758ee273d531d5b11c3b0b,32,37,36,29,31,28
dc55d02970c5f0b6fd4d23d67209c808,27,31,30,34,40,40
dc81f5347e7522118bff5e5649af18ad,34,43,26,37,33,27
dd1da7b0ad18ff1d27b943687d4ac443,30,33,35,29,26,36
dd40fc11a5fe9b22531f30bd69f044f0,33,38,35,31,39,37
dd724d3b1c975014b0f7a1b35a76d03d,45,37,27,40,24,34
